,0,1,2,3,4,5
0,18,7504,15205,1285,4797,6372
1,1725,3651,12822,824,4424,2157
2,1725,3651,12822,824,4424,2157
3,11072,5989,5615,8321,955,2137
4,7842,6046,8552,1691,3540,1874
5,9396,11601,15775,2896,7677,1295
6,4020,3234,1498,2395,264,255
7,22925,73498,32114,987,20070,903
8,14531,15488,30243,437,14841,1867
9,5113,1486,4583,5127,492,739
10,2153,1115,6684,4324,2894,411
11,355,7704,14682,398,8077,303
12,7842,6046,8552,1691,3540,1874
13,23,2616,8118,145,3874,217
14,28257,944,2146,3881,600,270
15,6468,12867,21570,1840,7558,1543
16,13134,9347,14316,3141,5079,1894
17,3884,3801,1641,876,397,4829
18,20918,1916,1573,1960,231,961
19,23257,1372,1677,982,429,655
20,2126,3289,3281,1535,235,4365
21,11442,1032,582,5390,74,247
22,4484,14399,24708,3549,14235,1681
23,7864,542,4042,9735,165,46
24,2343,7845,11874,52,4196,1697
25,9670,2280,2112,520,402,347
26,1537,3748,5838,1859,3381,806
27,355,7704,14682,398,8077,303
28,514,7677,19805,937,9836,716
29,9658,2182,1909,5639,215,323
30,25066,5010,5026,9806,1092,960
31,29526,7961,16966,432,363,1391
32,15076,6257,7398,1504,1916,3113
33,6269,1095,1980,3860,609,2162
34,918,20655,13567,1465,6846,806
35,25977,3587,2464,2369,140,1092
36,894,1703,1841,744,759,1153
37,964,4984,3316,937,409,7
38,243,12939,8852,799,3909,211
39,12356,6036,8887,402,1382,2794
40,17160,1200,3412,2417,174,1136
41,2153,1115,6684,4324,2894,411
42,4389,10940,10908,848,6728,993
43,7149,2428,699,6316,395,911
44,355,7704,14682,398,8077,303
45,56159,555,902,10002,212,2916
46,14276,803,3045,485,100,518
47,6300,1289,2591,1170,199,326
48,6987,1020,3007,416,257,656
49,7769,1936,2177,926,73,520
